{'epoch': 1539264585484, 'value': {x : 0.192, y : -0.546, z : -0.893}}
{'epoch': 1539264585487, 'value': {x : 0.189, y : -0.543, z : -0.885}}
{'epoch': 1539264585490, 'value': {x : 0.180, y : -0.550, z : -0.886}}
{'epoch': 1539264585491, 'value': {x : 0.159, y : -0.542, z : -0.872}}
{'epoch': 1539264585494, 'value': {x : 0.148, y : -0.544, z : -0.866}}
{'epoch': 1539264585497, 'value': {x : 0.144, y : -0.551, z : -0.849}}
{'epoch': 1539264585499, 'value': {x : 0.129, y : -0.552, z : -0.841}}
{'epoch': 1539264585502, 'value': {x : 0.108, y : -0.563, z : -0.870}}
{'epoch': 1539264585504, 'value': {x : 0.089, y : -0.573, z : -0.885}}
{'epoch': 1539264585506, 'value': {x : 0.098, y : -0.585, z : -0.860}}
{'epoch': 1539264585509, 'value': {x : 0.098, y : -0.586, z : -0.850}}
{'epoch': 1539264585512, 'value': {x : 0.090, y : -0.581, z : -0.864}}
{'epoch': 1539264585513, 'value': {x : 0.087, y : -0.578, z : -0.835}}
{'epoch': 1539264585516, 'value': {x : 0.082, y : -0.577, z : -0.803}}
{'epoch': 1539264585519, 'value': {x : 0.083, y : -0.562, z : -0.784}}
{'epoch': 1539264585521, 'value': {x : 0.078, y : -0.551, z : -0.759}}
